,inventory_id,set_num,quantity
2636,30510,70224-1,1
2637,30510,70225-1,1
2638,30510,70226-1,1
2639,30510,70227-1,1
2640,30510,70228-1,1
2641,30510,70229-1,2
2642,30510,70230-1,2
2643,30510,70231-1,1
2644,30510,70232-1,1
2645,30561,75206-1,1
2646,30561,75207-1,1
2647,30949,75197-1,1
2648,30949,75198-1,1
2649,31211,QUATRO-1,1
2650,31861,71023-0,60
2651,32338,71023-1,1
2652,32338,71023-10,1
2653,32338,71023-11,1
2654,32338,71023-12,1
2655,32338,71023-13,1
2656,32338,71023-14,1
2657,32338,71023-15,1
2658,32338,71023-16,1
2659,32338,71023-17,1
2660,32338,71023-18,1
2661,32338,71023-19,1
2662,32338,71023-2,1
2663,32338,71023-20,1
2664,32338,71023-3,1
2665,32338,71023-4,1
2666,32338,71023-5,1
2667,32338,71023-6,1
2668,32338,71023-7,1
2669,32338,71023-8,1
2670,32338,71023-9,1
2671,32757,2751-2,1
2672,32757,2751-3,1
2673,32757,2751-4,1
2674,32757,2751-5,1
2675,32763,9027-1,1
2676,32763,9071-1,1
2677,32763,9076-1,1
2678,32763,9079-1,1
2679,32763,9230-1,1
2680,32764,45000-1,1
2681,32764,9222-1,1
2682,32765,5003487-1,1
2683,32765,9090-1,1
2684,33995,9055-1,1
2685,33995,9920-1,2
2686,33997,9180-1,1
2687,33997,9181-1,1
2688,33998,9171-1,1
2689,33999,9190-1,1
2690,33999,9192-1,1
2691,34099,71024-0,60
2692,34449,31071-1,1
2693,34449,31072-1,1
2694,34450,60170-1,1
2695,34450,60171-1,1
2696,35025,71024-1,1
2697,35025,71024-10,1
2698,35025,71024-11,1
2699,35025,71024-12,1
2700,35025,71024-13,1
2701,35025,71024-14,1
2702,35025,71024-15,1
2703,35025,71024-16,1
2704,35025,71024-17,1
2705,35025,71024-18,1
2706,35025,71024-2,1
2707,35025,71024-3,1
2708,35025,71024-4,1
2709,35025,71024-5,1
2710,35025,71024-6,1
2711,35025,71024-7,1
2712,35025,71024-8,1
2713,35025,71024-9,1
2714,35139,71012-0,60
2715,35378,3857-1,1
2716,35378,3858-1,1
2717,35378,3859-1,1
2718,35378,3860-1,1
2719,35378,4648939-1,1
2720,35734,1069-1,1
2721,35734,1099-1,1
2722,35734,4222-1,1
2723,35734,4930-1,1
2724,35734,6706-1,1
2725,35807,1958-2,1
2726,35807,1959-2,1
2727,35810,2345-1,1
2728,35810,2411-1,1
2729,35860,60219-1,1
2730,35860,60223-1,1
2731,36618,41606-1,1
2732,36618,41607-1,1
2733,37145,2024-1,1
2734,37145,2054-1,1
2735,37145,2070-1,1
2736,38028,71025-0,60
2737,38380,21102-1,1
2738,38380,21105-1,1
2739,38380,21106-1,1
2740,38380,21107-1,1
2741,39710,71025-1,1
2742,39710,71025-10,1
2743,39710,71025-11,1
2744,39710,71025-12,1
2745,39710,71025-13,1
2746,39710,71025-14,1
2747,39710,71025-15,1
2748,39710,71025-16,1
2749,39710,71025-2,1
2750,39710,71025-3,1
2751,39710,71025-4,1
2752,39710,71025-5,1
2753,39710,71025-6,1
2754,39710,71025-7,1
2755,39710,71025-8,1
2756,39710,71025-9,1
2757,41809,11926-1,1
2758,42398,10717-1,1
2759,42398,853967-1,1
2760,42402,5005375-1,1
2761,42402,71025-0,20
2762,42402,853967-1,1
2763,42403,5005399-1,1
2764,42403,5005906-1,1
2765,42403,853910-1,1
2766,42403,853967-1,1
2767,42407,40301731-1,1
2768,42407,5003568-1,1
2769,42407,5004268-1,1
2770,42816,60218-1,1
2771,42816,60219-1,1
2772,42816,60231-1,1
2773,42831,60207-1,1
2774,42831,60212-1,1
2775,42831,60239-1,1
2776,42832,41335-1,1
2777,42832,41383-1,1
2778,42832,41385-1,1
2779,43617,71026-1,3
2780,43617,71026-10,3
2781,43617,71026-11,3
2782,43617,71026-12,4
2783,43617,71026-13,5
2784,43617,71026-14,3
2785,43617,71026-15,5
2786,43617,71026-16,3
2787,43617,71026-2,4
2788,43617,71026-3,5
2789,43617,71026-4,4
2790,43617,71026-5,3
2791,43617,71026-6,4
2792,43617,71026-7,4
2793,43617,71026-8,4
2794,43617,71026-9,3
2795,43618,71026-1,1
2796,43618,71026-10,1
2797,43618,71026-11,1
2798,43618,71026-12,1
2799,43618,71026-13,1
2800,43618,71026-14,1
2801,43618,71026-15,1
2802,43618,71026-16,1
2803,43618,71026-2,1
2804,43618,71026-3,1
2805,43618,71026-4,1
2806,43618,71026-5,1
2807,43618,71026-6,1
2808,43618,71026-7,1
2809,43618,71026-8,1
2810,43618,71026-9,1
